         n      Insertion Sort       Selction Sort     Quick Sort     Merge Sort      Heap Sort
     10000               0.057               0.205          0.001          0.001          0.002
     11000               0.074               0.258          0.001          0.002          0.002
     12000               0.093               0.307          0.001          0.002          0.002
     13000               0.102               0.351          0.001          0.002          0.002
     14000               0.112               0.429          0.001          0.002          0.003
     15000               0.132               0.483          0.002          0.002          0.002
     16000                0.14               0.551          0.001          0.003          0.002
     17000               0.167               0.597          0.003          0.002          0.004
     18000               0.177               0.678          0.002          0.003          0.003
     19000               0.201               0.771          0.002          0.003          0.004
     20000               0.221                0.88          0.003          0.003          0.004
     21000               0.273               0.982          0.002          0.004          0.003
     22000               0.273               1.063          0.002          0.003          0.003
     23000               0.287               1.144          0.003          0.003          0.003
     24000               0.321               1.231          0.003          0.003          0.005
     25000               0.366               1.358          0.002          0.004          0.003
     26000               0.367               1.484          0.002          0.004          0.005
     27000                 0.4                 1.6          0.003          0.004          0.004
     28000               0.484               1.723          0.003          0.003          0.005
     29000               0.456               1.826          0.004          0.004          0.005
     30000               0.498                1.92          0.002          0.004          0.006
     31000               0.549               2.099          0.003          0.005          0.006
     32000               0.572               2.249          0.004          0.004          0.005
     33000               0.597               2.355          0.003          0.004          0.006
     34000               0.617               2.545          0.003          0.005          0.006
     35000               0.693               2.611          0.004          0.004          0.006
     36000               0.677               2.732          0.004          0.005          0.006
     37000               0.727                2.93          0.003          0.005          0.006
     38000               0.759               3.075          0.004          0.005          0.005
     39000               0.798               3.208          0.004          0.005          0.007
     40000               0.861               3.442          0.004          0.006          0.007
     41000               0.894               3.594          0.005          0.005          0.008
     42000               0.933               3.758          0.004          0.005          0.007
     43000               0.993               4.075          0.006          0.006          0.008
     44000               1.039               4.219          0.005          0.006          0.008
     45000               1.054               4.326          0.005          0.006          0.008
     46000               1.129               4.564          0.005          0.006          0.008
     47000               1.174               4.744          0.005          0.007          0.007
     48000               1.204               4.997          0.005          0.006          0.009
     49000               1.284               5.126          0.005          0.007          0.009
     50000                1.32               5.364          0.005          0.007          0.009
     51000               1.351               5.592          0.005          0.007          0.009
     52000                1.46                5.77          0.005          0.007           0.01
     53000               1.507               5.988          0.006          0.007          0.009
     54000               1.523               6.158          0.006          0.007          0.009
     55000               1.574                6.47          0.005          0.008          0.009
     56000               1.647               6.646          0.006          0.007          0.012
     57000               1.716               6.962          0.006          0.007          0.011
     58000                1.76               7.421          0.007           0.01          0.011
     59000               1.955               8.102          0.008          0.009          0.014
     60000               1.989               8.215          0.007          0.008          0.012
     61000               2.104               8.601          0.007           0.01          0.013
     62000               2.153                8.89          0.007           0.01          0.012
     63000               2.256               9.205          0.009           0.01          0.015
     64000               2.379               9.486          0.007          0.009          0.013
     65000               2.415               9.491          0.007          0.011          0.014
     66000               2.545              10.051          0.006           0.01          0.012
     67000                2.38              10.345          0.007          0.011          0.013
     68000               2.627               10.76          0.008           0.01          0.013
     69000               2.669              11.075          0.009          0.011          0.018
     70000               2.767              11.038          0.007           0.01          0.013
     71000               2.637              10.834          0.008           0.01          0.014
     72000               2.678              11.377          0.007           0.01          0.013
     73000               2.825              11.369          0.008          0.011          0.013
     74000               2.794              11.664          0.008          0.009          0.015
     75000               2.896              12.355          0.007          0.011          0.013
     76000               3.068              12.461          0.008          0.011          0.014
     77000               3.068              12.764          0.008          0.013          0.015
     78000               3.176              13.118          0.007          0.011          0.014
     79000                3.24              13.516          0.008          0.011          0.015
     80000               3.311              13.871          0.008          0.012          0.014
     81000               3.437               14.22          0.007          0.012          0.014
     82000               3.505              14.622          0.007          0.015          0.017
     83000               3.575              14.893          0.008          0.012          0.017
     84000               3.796              15.747          0.011          0.013          0.018
     85000               3.786              15.743          0.009          0.012          0.015
     86000                3.77              15.776          0.009          0.011          0.016
     87000                3.87              16.073          0.008          0.014          0.019
     88000               4.318              16.913          0.008          0.013          0.016
     89000               4.315              17.069          0.009          0.013          0.017
     90000               4.134              17.617          0.009          0.013          0.017
     91000                4.32              18.024          0.009          0.012          0.018
     92000               4.338              18.071           0.01          0.013          0.018
     93000               4.513              18.597           0.01          0.012          0.018
     94000               4.482              18.926          0.009          0.014          0.017
     95000               4.766              20.009           0.01          0.013          0.019
     96000               4.913              20.262          0.011          0.013          0.018
     97000               4.857              20.194          0.009          0.013          0.019
     98000               4.893               20.97           0.01          0.013           0.02
     99000               5.119              21.314          0.011          0.013          0.018
    100000               5.133              21.611           0.01          0.013           0.02
